column,null_pct,unique_count,suppressed_count,inferred_type
Prscrbr_NPI,0.0,46629,0,numeric
Prscrbr_Last_Org_Name,0.0,25185,0,text/identifier
Prscrbr_First_Name,0.0,10160,0,text/identifier
Prscrbr_City,0.0,5735,0,text/identifier
Prscrbr_State_Abrvtn,0.0,58,0,text/identifier
Prscrbr_State_FIPS,0.0,58,0,numeric
Prscrbr_Type,0.0,93,0,text/identifier
Prscrbr_Type_Src,0.0,3,0,categorical
Brnd_Name,0.0,1241,0,text/identifier
Gnrc_Name,0.0,911,0,text/identifier
Tot_Clms,0.0,733,0,numeric
Tot_30day_Fills,0.0,4808,0,numeric
Tot_Day_Suply,0.0,9009,0,numeric
Tot_Drug_Cst,0.0,43142,0,numeric
Tot_Benes,54.54,287,0,numeric
GE65_Sprsn_Flag,55.55,2,22225,categorical
GE65_Tot_Clms,44.45,637,0,numeric
GE65_Tot_30day_Fills,44.45,3581,0,numeric
GE65_Tot_Drug_Cst,44.45,24463,0,numeric
GE65_Tot_Day_Suply,44.45,6513,0,numeric
GE65_Bene_Sprsn_Flag,12.11,2,43946,categorical
GE65_Tot_Benes,87.89,234,0,numeric
