column,null_pct,unique_count,suppressed_count,inferred_type
﻿BusinessYear,0.0,1,0,numeric
StateCode,0.0,30,0,categorical
IssuerId,0.0,359,0,numeric
IssuerMarketPlaceMarketingName,0.0,159,0,text/identifier
SourceName,0.0,2,0,categorical
ImportDate,0.0,22,0,categorical
MarketCoverage,0.0,2,0,categorical
DentalOnlyPlan,0.0,2,0,categorical
StandardComponentId,0.0,5144,0,text/identifier
PlanMarketingName,0.0,2621,0,text/identifier
HIOSProductId,0.0,906,0,text/identifier
NetworkId,0.0,170,0,text/identifier
ServiceAreaId,0.0,264,0,text/identifier
FormularyId,6.3,780,0,text/identifier
IsNewPlan,0.0,2,0,categorical
PlanType,0.0,5,0,categorical
MetalLevel,0.0,8,0,categorical
DesignType,7.73,4,13479,categorical
UniquePlanDesign,6.3,2,0,categorical
QHPNonQHPTypeId,0.0,3,0,categorical
IsNoticeRequiredForPregnancy,6.3,2,0,categorical
IsReferralRequiredForSpecialist,6.3,2,0,categorical
SpecialistRequiringReferral,76.45,20,0,categorical
PlanLevelExclusions,86.26,42,0,categorical
IndianPlanVariationEstimatedAdvancedPaymentAmountPerEnrollee,7.73,1,0,numeric
CompositeRatingOffered,0.0,2,0,categorical
ChildOnlyOffering,0.0,2,0,categorical
ChildOnlyPlanId,100.0,0,0,text/identifier
WellnessProgramOffered,6.3,2,0,categorical
DiseaseManagementProgramsOffered,17.17,34,0,categorical
EHBPercentTotalPremium,7.73,345,0,numeric
EHBPediatricDentalApportionmentQuantity,94.49,56,0,numeric
IsGuaranteedRate,93.7,1,0,categorical
PlanEffectiveDate,0.0,4,0,categorical
PlanExpirationDate,23.6,1,0,categorical
OutOfCountryCoverage,0.0,2,0,categorical
OutOfCountryCoverageDescription,29.14,93,0,text/identifier
OutOfServiceAreaCoverage,0.0,2,0,categorical
OutOfServiceAreaCoverageDescription,14.76,151,165,text/identifier
NationalNetwork,0.0,2,0,categorical
URLForEnrollmentPayment,3.7,131,0,text/identifier
FormularyURL,6.3,184,0,text/identifier
PlanId,0.0,22059,0,text/identifier
PlanVariantMarketingName,0.0,6166,0,text/identifier
CSRVariationType,0.0,19,0,categorical
IssuerActuarialValue,73.28,556,0,text/identifier
AVCalculatorOutputNumber,18.26,1545,0,numeric
MedicalDrugDeductiblesIntegrated,6.3,2,0,categorical
MedicalDrugMaximumOutofPocketIntegrated,6.3,1,0,categorical
MultipleInNetworkTiers,0.0,2,0,categorical
FirstTierUtilization,0.0,37,0,categorical
SecondTierUtilization,75.03,36,0,categorical
SBCHavingaBabyDeductible,6.3,191,0,numeric
SBCHavingaBabyCopayment,6.3,65,0,numeric
SBCHavingaBabyCoinsurance,6.3,135,0,numeric
SBCHavingaBabyLimit,6.3,9,0,numeric
SBCHavingDiabetesDeductible,6.3,122,0,numeric
SBCHavingDiabetesCopayment,6.3,80,0,numeric
SBCHavingDiabetesCoinsurance,6.3,45,0,numeric
SBCHavingDiabetesLimit,6.3,9,0,numeric
SBCHavingSimplefractureDeductible,6.3,83,0,numeric
SBCHavingSimplefractureCopayment,6.3,58,0,numeric
SBCHavingSimplefractureCoinsurance,6.3,42,0,numeric
SBCHavingSimplefractureLimit,6.3,2,0,numeric
SpecialtyDrugMaximumCoinsurance,98.67,6,0,numeric
InpatientCopaymentMaximumDays,0.0,5,0,numeric
BeginPrimaryCareCostSharingAfterNumberOfVisits,0.0,6,0,numeric
BeginPrimaryCareDeductibleCoinsuranceAfterNumberOfCopays,0.0,6,0,numeric
MEHBInnTier1IndividualMOOP,93.7,7,268,numeric
MEHBInnTier1FamilyPerPersonMOOP,93.7,7,268,categorical
MEHBInnTier1FamilyPerGroupMOOP,93.7,7,276,categorical
MEHBInnTier2IndividualMOOP,99.55,5,4,numeric
MEHBInnTier2FamilyPerPersonMOOP,99.55,5,4,categorical
MEHBInnTier2FamilyPerGroupMOOP,99.55,5,4,categorical
MEHBOutOfNetIndividualMOOP,93.7,3,1260,numeric
MEHBOutOfNetFamilyPerPersonMOOP,93.7,3,1264,categorical
MEHBOutOfNetFamilyPerGroupMOOP,93.7,3,1264,categorical
MEHBCombInnOonIndividualMOOP,93.7,7,1113,numeric
MEHBCombInnOonFamilyPerPersonMOOP,93.7,7,1113,categorical
MEHBCombInnOonFamilyPerGroupMOOP,93.7,6,1121,categorical
DEHBInnTier1IndividualMOOP,100.0,0,0,text/identifier
DEHBInnTier1FamilyPerPersonMOOP,100.0,0,0,text/identifier
DEHBInnTier1FamilyPerGroupMOOP,100.0,0,0,text/identifier
DEHBInnTier2IndividualMOOP,100.0,0,0,text/identifier
DEHBInnTier2FamilyPerPersonMOOP,100.0,0,0,text/identifier
DEHBInnTier2FamilyPerGroupMOOP,100.0,0,0,text/identifier
DEHBOutOfNetIndividualMOOP,100.0,0,0,text/identifier
DEHBOutOfNetFamilyPerPersonMOOP,100.0,0,0,text/identifier
DEHBOutOfNetFamilyPerGroupMOOP,100.0,0,0,text/identifier
DEHBCombInnOonIndividualMOOP,100.0,0,0,text/identifier
DEHBCombInnOonFamilyPerPersonMOOP,100.0,0,0,text/identifier
DEHBCombInnOonFamilyPerGroupMOOP,100.0,0,0,text/identifier
TEHBInnTier1IndividualMOOP,6.3,219,0,numeric
TEHBInnTier1FamilyPerPersonMOOP,6.3,218,0,text/identifier
TEHBInnTier1FamilyPerGroupMOOP,6.3,219,0,text/identifier
TEHBInnTier2IndividualMOOP,75.48,145,0,numeric
TEHBInnTier2FamilyPerPersonMOOP,75.48,144,0,text/identifier
TEHBInnTier2FamilyPerGroupMOOP,75.48,145,0,text/identifier
TEHBOutOfNetIndividualMOOP,6.3,132,17192,numeric
TEHBOutOfNetFamilyPerPersonMOOP,6.3,133,17192,text/identifier
TEHBOutOfNetFamilyPerGroupMOOP,6.3,132,17192,text/identifier
TEHBCombInnOonIndividualMOOP,6.3,155,17403,numeric
TEHBCombInnOonFamilyPerPersonMOOP,6.3,155,17402,text/identifier
TEHBCombInnOonFamilyPerGroupMOOP,6.3,154,17402,text/identifier
MEHBDedInnTier1Individual,84.17,84,782,numeric
MEHBDedInnTier1FamilyPerPerson,84.17,82,884,text/identifier
MEHBDedInnTier1FamilyPerGroup,84.17,81,1217,text/identifier
MEHBDedInnTier1Coinsurance,90.47,11,0,categorical
MEHBDedInnTier2Individual,96.65,30,75,numeric
MEHBDedInnTier2FamilyPerPerson,96.65,30,75,categorical
MEHBDedInnTier2FamilyPerGroup,96.65,30,81,categorical
MEHBDedInnTier2Coinsurance,97.11,7,0,categorical
MEHBDedOutOfNetIndividual,84.17,49,2381,numeric
MEHBDedOutOfNetFamilyPerPerson,84.17,48,2465,categorical
MEHBDedOutOfNetFamilyPerGroup,84.17,43,2820,categorical
MEHBDedCombInnOonIndividual,84.17,46,2319,numeric
MEHBDedCombInnOonFamilyPerPerson,84.17,45,2348,categorical
MEHBDedCombInnOonFamilyPerGroup,84.17,35,2694,categorical
DEHBDedInnTier1Individual,90.47,48,101,numeric
DEHBDedInnTier1FamilyPerPerson,90.47,48,119,categorical
DEHBDedInnTier1FamilyPerGroup,90.47,49,377,categorical
