column,null_pct,unique_count,suppressed_count,inferred_type
State,0.0,31,0,categorical
DentalPlan,0.0,2,0,categorical
PlanID_2025,0.0,5240,0,text/identifier
IssuerID_2025,0.0,386,0,numeric
MultistatePlan_2025,0.0,1,0,categorical
MetalLevel_2025,0.0,7,0,categorical
ChildAdultOnly_2025,0.0,2,0,numeric
FIPSCode,0.0,2157,0,numeric
ZipCode,0.0,2,0,numeric
CrosswalkLevel,0.0,4,0,numeric
ReasonForCrosswalk,0.0,9,0,numeric
PlanID_2026,0.0,4236,0,text/identifier
IssuerID_2026,0.0,340,0,numeric
MultistatePlan_2026,0.0,2,0,categorical
MetalLevel_2026,0.0,8,0,categorical
ChildAdultOnly_2026,0.0,3,0,numeric
AgeOffPlanID_2026,0.0,150,0,text/identifier
IssuerID_AgeOff2026,0.0,77,0,numeric
MultistatePlan_AgeOff2026,0.0,2,0,categorical
MetalLevel_AgeOff2026,0.0,5,0,categorical
ChildAdultOnly_AgeOff2026,0.0,2,0,numeric
ReasonForBronzeToSilverCrosswalk,0.0,1,0,categorical
SilverCSREligPlanID_2026,0.0,1,0,categorical
SilverCSREligIssuerID_2026,0.0,1,0,numeric
