evaluation_id,CLM_ID,CLM_LINE_NUM,expected_BR_DATE_001,expected_BR_DATE_002,expected_BR_AMT_001,expected_BR_AMT_002,expected_violation_count,scenario
EVAL_BOUND_000001,EVAL_BOUND_000001,3,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000002,EVAL_BOUND_000002,1,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000003,EVAL_BOUND_000003,4,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000004,EVAL_BOUND_000004,6,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000005,EVAL_BOUND_000005,5,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000006,EVAL_BOUND_000006,4,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000007,EVAL_BOUND_000007,2,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000008,EVAL_BOUND_000008,2,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000009,EVAL_BOUND_000009,4,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000010,EVAL_BOUND_000010,1,PASS,PASS,PASS,PASS,0,BOUNDARY
EVAL_BOUND_000011,EVAL_BOUND_000011,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000012,EVAL_BOUND_000012,1,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000013,EVAL_BOUND_000013,4,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000014,EVAL_BOUND_000014,1,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000015,EVAL_BOUND_000015,8,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000016,EVAL_BOUND_000016,1,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000017,EVAL_BOUND_000017,4,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000018,EVAL_BOUND_000018,7,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000019,EVAL_BOUND_000019,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000020,EVAL_BOUND_000020,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000021,EVAL_BOUND_000021,4,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000022,EVAL_BOUND_000022,3,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000023,EVAL_BOUND_000023,3,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000024,EVAL_BOUND_000024,5,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000025,EVAL_BOUND_000025,1,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000026,EVAL_BOUND_000026,7,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000027,EVAL_BOUND_000027,1,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000028,EVAL_BOUND_000028,2,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000029,EVAL_BOUND_000029,5,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
EVAL_BOUND_000030,EVAL_BOUND_000030,1,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,0,MISSING_INPUT
