evaluation_id,CLM_ID,scenario,expected_BR_REF_001,expected_BR_REF_002,expected_BR_REF_003,expected_BR_REF_004,expected_BR_AUTH_001
EVAL_CLM_C2_000001,EVAL_CLM_C2_000001,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000002,EVAL_CLM_C2_000002,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000003,EVAL_CLM_C2_000003,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000004,EVAL_CLM_C2_000004,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000005,EVAL_CLM_C2_000005,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000006,EVAL_CLM_C2_000006,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000007,EVAL_CLM_C2_000007,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000008,EVAL_CLM_C2_000008,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000009,EVAL_CLM_C2_000009,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000010,EVAL_CLM_C2_000010,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000011,EVAL_CLM_C2_000011,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000012,EVAL_CLM_C2_000012,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000013,EVAL_CLM_C2_000013,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000014,EVAL_CLM_C2_000014,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000015,EVAL_CLM_C2_000015,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000016,EVAL_CLM_C2_000016,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000017,EVAL_CLM_C2_000017,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000018,EVAL_CLM_C2_000018,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000019,EVAL_CLM_C2_000019,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000020,EVAL_CLM_C2_000020,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000021,EVAL_CLM_C2_000021,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000022,EVAL_CLM_C2_000022,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000023,EVAL_CLM_C2_000023,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000024,EVAL_CLM_C2_000024,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000025,EVAL_CLM_C2_000025,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000026,EVAL_CLM_C2_000026,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000027,EVAL_CLM_C2_000027,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000028,EVAL_CLM_C2_000028,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000029,EVAL_CLM_C2_000029,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000030,EVAL_CLM_C2_000030,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000031,EVAL_CLM_C2_000031,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000032,EVAL_CLM_C2_000032,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000033,EVAL_CLM_C2_000033,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000034,EVAL_CLM_C2_000034,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000035,EVAL_CLM_C2_000035,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000036,EVAL_CLM_C2_000036,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000037,EVAL_CLM_C2_000037,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000038,EVAL_CLM_C2_000038,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000039,EVAL_CLM_C2_000039,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000040,EVAL_CLM_C2_000040,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000041,EVAL_CLM_C2_000041,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000042,EVAL_CLM_C2_000042,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000043,EVAL_CLM_C2_000043,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000044,EVAL_CLM_C2_000044,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000045,EVAL_CLM_C2_000045,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000046,EVAL_CLM_C2_000046,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000047,EVAL_CLM_C2_000047,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
EVAL_CLM_C2_000048,EVAL_CLM_C2_000048,CLEAN,PASS,PASS,PASS,PASS,AUTHORIZED
