model,workload,precision,recall,f1,fpr,latency_ms
V2_VOLUME_MAD,ALL,0.5555555555555556,0.15789473684210525,0.2459016393442623,0.08421052631578947,0.015727093345240542
V2_VOLUME_MAD,MICRO,0.6470588235294118,0.12643678160919541,0.21153846153846154,0.04597701149425287,0.015727093345240542
V2_VOLUME_MAD,SMALL,0.4,0.42857142857142855,0.41379310344827586,0.42857142857142855,0.015727093345240542
V2_VOLUME_MAD,LARGE,0.4,0.5555555555555556,0.46511627906976744,0.5555555555555556,0.015727093345240542
V2_VOLUME_EWMA,ALL,0.47058823529411764,0.021052631578947368,0.04030226700251889,0.015789473684210527,0.01602047368099815
V2_VOLUME_EWMA,MICRO,0.25,0.0028735632183908046,0.005681818181818182,0.005747126436781609,0.01602047368099815
V2_VOLUME_EWMA,SMALL,1.0,0.21428571428571427,0.35294117647058826,0.0,0.01602047368099815
V2_VOLUME_EWMA,LARGE,0.4,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.01602047368099815
V2_VOLUME_CUSUM,ALL,0.5714285714285714,0.021052631578947368,0.04060913705583756,0.010526315789473684,0.014906180532355057
V2_VOLUME_CUSUM,MICRO,1.0,0.0028735632183908046,0.0057306590257879654,0.0,0.014906180532355057
V2_VOLUME_CUSUM,SMALL,1.0,0.21428571428571427,0.35294117647058826,0.0,0.014906180532355057
V2_VOLUME_CUSUM,LARGE,0.4,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.014906180532355057
V2_OPERATIONAL_ISO,ALL,0.4609375,0.15526315789473685,0.23228346456692914,0.12105263157894737,0.00545602095754523
V2_OPERATIONAL_ISO,MICRO,0.43243243243243246,0.09195402298850575,0.15165876777251186,0.08045977011494253,0.00545602095754523
V2_OPERATIONAL_ISO,SMALL,1.0,0.6428571428571429,0.782608695652174,0.0,0.00545602095754523
V2_OPERATIONAL_ISO,LARGE,0.4,1.0,0.5714285714285714,1.0,0.00545602095754523
V2_OPERATIONAL_LOF,ALL,0.7443946188340808,0.4368421052631579,0.5505804311774462,0.1,0.0057298258731239725
V2_OPERATIONAL_LOF,MICRO,0.8202247191011236,0.41954022988505746,0.5551330798479087,0.06130268199233716,0.0057298258731239725
V2_OPERATIONAL_LOF,SMALL,0.5833333333333334,0.5,0.5384615384615384,0.23809523809523808,0.0057298258731239725
V2_OPERATIONAL_LOF,LARGE,0.3939393939393939,0.7222222222222222,0.5098039215686274,0.7407407407407407,0.0057298258731239725
V2_OPERATIONAL_SVM,ALL,0.49333333333333335,0.09736842105263158,0.16263736263736264,0.06666666666666667,0.004216495313142475
V2_OPERATIONAL_SVM,MICRO,0.7058823529411765,0.034482758620689655,0.06575342465753424,0.009578544061302681,0.004216495313142475
V2_OPERATIONAL_SVM,SMALL,0.5384615384615384,0.5,0.5185185185185185,0.2857142857142857,0.004216495313142475
V2_OPERATIONAL_SVM,LARGE,0.4,1.0,0.5714285714285714,1.0,0.004216495313142475
V3_VOLUME_MAD,ALL,0.36023054755043227,0.32894736842105265,0.343878954607978,0.3894736842105263,0.0
V3_VOLUME_MAD,MICRO,0.3701067615658363,0.2988505747126437,0.33068362480127184,0.3390804597701149,0.0
V3_VOLUME_MAD,SMALL,0.3225806451612903,0.7142857142857143,0.4444444444444444,1.0,0.0
V3_VOLUME_MAD,LARGE,0.3142857142857143,0.6111111111111112,0.41509433962264153,0.8888888888888888,0.0
V3_VOLUME_EWMA,ALL,0.5714285714285714,0.021052631578947368,0.04060913705583756,0.010526315789473684,0.0
V3_VOLUME_EWMA,MICRO,1.0,0.0028735632183908046,0.0057306590257879654,0.0,0.0
V3_VOLUME_EWMA,SMALL,1.0,0.21428571428571427,0.35294117647058826,0.0,0.0
V3_VOLUME_EWMA,LARGE,0.4,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.0
V3_VOLUME_CUSUM,ALL,0.48366013071895425,0.19473684210526315,0.2776735459662289,0.13859649122807016,0.016831598783794203
V3_VOLUME_CUSUM,MICRO,0.49242424242424243,0.1867816091954023,0.2708333333333333,0.12835249042145594,0.016831598783794203
V3_VOLUME_CUSUM,SMALL,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.19047619047619047,0.016831598783794203
V3_VOLUME_CUSUM,LARGE,0.42857142857142855,0.3333333333333333,0.375,0.2962962962962963,0.016831598783794203
V3_OPERATIONAL_ISO,ALL,0.35714285714285715,0.02631578947368421,0.049019607843137254,0.031578947368421054,0.004329179462633635
V3_OPERATIONAL_ISO,MICRO,0.0,0.0,0.0,0.0019157088122605363,0.004329179462633635
V3_OPERATIONAL_ISO,SMALL,0.0,0.0,0.0,0.14285714285714285,0.004329179462633635
V3_OPERATIONAL_ISO,LARGE,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.5185185185185185,0.004329179462633635
V3_OPERATIONAL_LOF,ALL,0.9361702127659575,0.3473684210526316,0.5067178502879078,0.015789473684210527,0.00297621676796361
V3_OPERATIONAL_LOF,MICRO,0.9361702127659575,0.3793103448275862,0.5398773006134969,0.017241379310344827,0.00297621676796361
V3_OPERATIONAL_LOF,SMALL,0.0,0.0,0.0,0.0,0.00297621676796361
V3_OPERATIONAL_LOF,LARGE,0.0,0.0,0.0,0.0,0.00297621676796361
V3_OPERATIONAL_SVM,ALL,0.39752650176678445,0.5921052631578947,0.47568710359408034,0.5982456140350877,0.002101847999974301
V3_OPERATIONAL_SVM,MICRO,0.4007421150278293,0.6206896551724138,0.48703494926719276,0.6187739463601533,0.002101847999974301
V3_OPERATIONAL_SVM,SMALL,0.0,0.0,0.0,0.0,0.002101847999974301
V3_OPERATIONAL_SVM,LARGE,0.3333333333333333,0.5,0.4,0.6666666666666666,0.002101847999974301
