HCPCS_CD,DESCRIPTION
99221,Synthetic HCPCS Description
D7230,Synthetic HCPCS Description
12001,Synthetic HCPCS Description
96156,Synthetic HCPCS Description
M1069,Synthetic HCPCS Description
99401,Synthetic HCPCS Description
G0444,Synthetic HCPCS Description
99408,Synthetic HCPCS Description
99495,Synthetic HCPCS Description
96127,Synthetic HCPCS Description
G0442,Synthetic HCPCS Description
G9573,Synthetic HCPCS Description
G9572,Synthetic HCPCS Description
G8839,Synthetic HCPCS Description
I3C,Synthetic HCPCS Description
93229,Synthetic HCPCS Description
71046,Synthetic HCPCS Description
QS,Synthetic HCPCS Description
C8927,Synthetic HCPCS Description
99202,Synthetic HCPCS Description
C8929,Synthetic HCPCS Description
94640,Synthetic HCPCS Description
87999,Synthetic HCPCS Description
C8928,Synthetic HCPCS Description
G8159,Synthetic HCPCS Description
G8334,Synthetic HCPCS Description
S9353,Synthetic HCPCS Description
G8942,Synthetic HCPCS Description
C8930,Synthetic HCPCS Description
C8924,Synthetic HCPCS Description
C8923,Synthetic HCPCS Description
G9530,Synthetic HCPCS Description
G8939,Synthetic HCPCS Description
90714,Synthetic HCPCS Description
99024,Synthetic HCPCS Description
73060,Synthetic HCPCS Description
29515,Synthetic HCPCS Description
77080,Synthetic HCPCS Description
