ICD_CODE,DESCRIPTION
K011,Synthetic ICD Description
Z951,Synthetic ICD Description
R931,Synthetic ICD Description
I350,Synthetic ICD Description
I200,Synthetic ICD Description
I213,Synthetic ICD Description
Z95818,Synthetic ICD Description
I214,Synthetic ICD Description
I0981,Synthetic ICD Description
Z3400,Synthetic ICD Description
J441,Synthetic ICD Description
Z3480,Synthetic ICD Description
S93409,Synthetic ICD Description
S0181X,Synthetic ICD Description
Z733,Synthetic ICD Description
T7491X,Synthetic ICD Description
N184,Synthetic ICD Description
Z608,Synthetic ICD Description
Y0704,Synthetic ICD Description
Z604,Synthetic ICD Description
T7432X,Synthetic ICD Description
G309,Synthetic ICD Description
F0280,Synthetic ICD Description
F1010,Synthetic ICD Description
T7421X,Synthetic ICD Description
Y079,Synthetic ICD Description
Y0703,Synthetic ICD Description
T7422X,Synthetic ICD Description
S060X9,Synthetic ICD Description
T7431X,Synthetic ICD Description
T7412X,Synthetic ICD Description
N1830,Synthetic ICD Description
F410,Synthetic ICD Description
F1910,Synthetic ICD Description
J209,Synthetic ICD Description
Z954,Synthetic ICD Description
Z952,Synthetic ICD Description
I25710,Synthetic ICD Description
J329,Synthetic ICD Description
T7411X,Synthetic ICD Description
N182,Synthetic ICD Description
E0922,Synthetic ICD Description
N181,Synthetic ICD Description
I1310,Synthetic ICD Description
S134XX,Synthetic ICD Description
Z7682,Synthetic ICD Description
S060X0,Synthetic ICD Description
S61419,Synthetic ICD Description
S5290X,Synthetic ICD Description
I252,Synthetic ICD Description
I501,Synthetic ICD Description
I509,Synthetic ICD Description
Z653,Synthetic ICD Description
E1129,Synthetic ICD Description
R809,Synthetic ICD Description
E1121,Synthetic ICD Description
R801,Synthetic ICD Description
I259,Synthetic ICD Description
E8881,Synthetic ICD Description
B349,Synthetic ICD Description
M7918,Synthetic ICD Description
E785,Synthetic ICD Description
M5450,Synthetic ICD Description
I151,Synthetic ICD Description
E1122,Synthetic ICD Description
E1022,Synthetic ICD Description
I129,Synthetic ICD Description
R7303,Synthetic ICD Description
J449,Synthetic ICD Description
T50905,Synthetic ICD Description
I4891,Synthetic ICD Description
M542,Synthetic ICD Description
E034,Synthetic ICD Description
M810,Synthetic ICD Description
E781,Synthetic ICD Description
Z940,Synthetic ICD Description
R0902,Synthetic ICD Description
G8929,Synthetic ICD Description
Z560,Synthetic ICD Description
M169,Synthetic ICD Description
O039,Synthetic ICD Description
I10,Synthetic ICD Description
D649,Synthetic ICD Description
E119,Synthetic ICD Description
M19049,Synthetic ICD Description
Z89439,Synthetic ICD Description
P292,Synthetic ICD Description
M179,Synthetic ICD Description
E669,Synthetic ICD Description
G53,Synthetic ICD Description
E1142,Synthetic ICD Description
G4730,Synthetic ICD Description
P2830,Synthetic ICD Description
E113519,Synthetic ICD Description
E113592,Synthetic ICD Description
E113591,Synthetic ICD Description
I340,Synthetic ICD Description
C50919,Synthetic ICD Description
G479,Synthetic ICD Description
C50929,Synthetic ICD Description
K621,Synthetic ICD Description
E113299,Synthetic ICD Description
A419,Synthetic ICD Description
G43719,Synthetic ICD Description
R739,Synthetic ICD Description
T50901A,Synthetic ICD Description
E1140,Synthetic ICD Description
G40909,Synthetic ICD Description
K635,Synthetic ICD Description
E1144,Synthetic ICD Description
E1141,Synthetic ICD Description
Z558,Synthetic ICD Description
P258,Synthetic ICD Description
J439,Synthetic ICD Description
G4754,Synthetic ICD Description
K37,Synthetic ICD Description
G4739,Synthetic ICD Description
R569,Synthetic ICD Description
M797,Synthetic ICD Description
Z5989,Synthetic ICD Description
L930,Synthetic ICD Description
E113599,Synthetic ICD Description
E113593,Synthetic ICD Description
Z591,Synthetic ICD Description
R6521,Synthetic ICD Description
E11319,Synthetic ICD Description
G4733,Synthetic ICD Description
P2832,Synthetic ICD Description
G9349,Synthetic ICD Description
Z9049,Synthetic ICD Description
Z8669,Synthetic ICD Description
E11610,Synthetic ICD Description
S06,Synthetic ICD Description
S069,Synthetic ICD Description
Z7289,Synthetic ICD Description
P369,Synthetic ICD Description
D4959,Synthetic ICD Description
N3080,Synthetic ICD Description
P90,Synthetic ICD Description
Z7689,Synthetic ICD Description
Z5982,Synthetic ICD Description
Z5941,Synthetic ICD Description
E1143,Synthetic ICD Description
E1149,Synthetic ICD Description
D075,Synthetic ICD Description
R52,Synthetic ICD Description
K3533,Synthetic ICD Description
N136,Synthetic ICD Description
N390,Synthetic ICD Description
R4689,Synthetic ICD Description
K3532,Synthetic ICD Description
N3020,Synthetic ICD Description
O00109,Synthetic ICD Description
F78A9,Synthetic ICD Description
F1110,Synthetic ICD Description
M109,Synthetic ICD Description
Z9189,Synthetic ICD Description
Q870,Synthetic ICD Description
X50,Synthetic ICD Description
V00,Synthetic ICD Description
W19,Synthetic ICD Description
Y04,Synthetic ICD Description
X58,Synthetic ICD Description
Y83,Synthetic ICD Description
W86,Synthetic ICD Description
Y07,Synthetic ICD Description
Y92,Synthetic ICD Description
X08,Synthetic ICD Description
Y08,Synthetic ICD Description
Y90,Synthetic ICD Description
V03,Synthetic ICD Description
Y09,Synthetic ICD Description
W18,Synthetic ICD Description
Y99,Synthetic ICD Description
W06,Synthetic ICD Description
Y00,Synthetic ICD Description
W20,Synthetic ICD Description
W05,Synthetic ICD Description
Y95,Synthetic ICD Description
W01,Synthetic ICD Description
Y69,Synthetic ICD Description
Y84,Synthetic ICD Description
X99,Synthetic ICD Description
W22,Synthetic ICD Description
V09,Synthetic ICD Description
Y93,Synthetic ICD Description
Y33,Synthetic ICD Description
V49,Synthetic ICD Description
W10,Synthetic ICD Description
W27,Synthetic ICD Description
Y71,Synthetic ICD Description
W37,Synthetic ICD Description
Y73,Synthetic ICD Description
V44,Synthetic ICD Description
V43,Synthetic ICD Description
Y82,Synthetic ICD Description
W50,Synthetic ICD Description
X37,Synthetic ICD Description
V89,Synthetic ICD Description
W26,Synthetic ICD Description
 ,Synthetic ICD Description
Z741,Synthetic ICD Description
GZ3,Synthetic ICD Description
B246ZZ3,Synthetic ICD Description
0BP1XDZ,Synthetic ICD Description
BW03ZZZ,Synthetic ICD Description
0BP10DZ,Synthetic ICD Description
3E033FZ,Synthetic ICD Description
Z000,Synthetic ICD Description
B2010ZZ,Synthetic ICD Description
Z9981,Synthetic ICD Description
B2000ZZ,Synthetic ICD Description
B2001ZZ,Synthetic ICD Description
0BP18DZ,Synthetic ICD Description
0BP17DZ,Synthetic ICD Description
0BP13DZ,Synthetic ICD Description
B201YZZ,Synthetic ICD Description
B200YZZ,Synthetic ICD Description
B24DZZ4,Synthetic ICD Description
B244ZZ3,Synthetic ICD Description
B245ZZZ,Synthetic ICD Description
B2011ZZ,Synthetic ICD Description
Z23,Synthetic ICD Description
Z5189,Synthetic ICD Description
S4990,Synthetic ICD Description
Z9181,Synthetic ICD Description
F419,Synthetic ICD Description
Z139,Synthetic ICD Description
Z1331,Synthetic ICD Description
B246ZZZ,Synthetic ICD Description
07HN33Z,Synthetic ICD Description
3E073PZ,Synthetic ICD Description
3E07317,Synthetic ICD Description
3E073GC,Synthetic ICD Description
B24DZZZ,Synthetic ICD Description
B24DZZ3,Synthetic ICD Description
3E073KZ,Synthetic ICD Description
T1490,Synthetic ICD Description
F1990,Synthetic ICD Description
02RF08Z,Synthetic ICD Description
02RF4KZ,Synthetic ICD Description
B920ZZZ,Synthetic ICD Description
M859,Synthetic ICD Description
F109,Synthetic ICD Description
Z715,Synthetic ICD Description
30277R1,Synthetic ICD Description
